02/01/2018,TOR HYD ELEC Q3J9Z2 ,103.50,,3025.76
02/20/2018,ENBRIDGE     Y3R2L8 ,198.22,,2827.54
02/28/2018,PTS TO:  13283303621,10.00,,2817.54
02/28/2018,PASSBOOK FEE        ,2.25,,2815.29
02/28/2018,MONTHLY ACCOUNT FEE ,3.95,,2811.34
02/28/2018,ACCT BAL REBATE     ,,3.95,2815.29
