06/05/2019,TOR HYD ELEC W7K4L3 ,107.25,,3183.91
06/17/2019,TORONTO TAX  Z9H5Q5 ,1578.17,,1605.74
06/17/2019,ENBRIDGE GAS Z9H5R4 ,59.51,,1546.23
06/28/2019,PTS TO:  13283303621,10.00,,1536.23
06/28/2019,PASSBOOK FEE        ,2.25,,1533.98
06/28/2019,MONTHLY ACCOUNT FEE ,3.95,,1530.03
